"ReviewId","ReviewerId","CommentIndex","NumOfCurrent","NumOfincurrent","CurrentPar","IncurrentPar","ScoreOfReliability","VotingScore","Status","ExpertiseLevel"
1,1000003,2,0,0,0,0,0,1," merged",0
1,1000007,1,0,0,0,0,0,-1," merged",0
2,1000002,4,0,0,0,0,0.5,1," merged",0
2,1000003,3,0,2,0,1,0.5,1," merged",0.9375
2,1000007,2,1,1,0.5,0.5,0.5,1," merged",0.9375
2,1000012,1,0,0,0,0,0,1," merged",0
3,1000007,1,2,1,0.666667,0.333333,0.666667,1," merged",1.875
4,1000011,1,0,0,0,0,0,1," merged",0
6,1000014,1,0,0,0,0,0,1," merged",1.5
7,1000004,1,0,0,0,0,0,1," merged",0
7,1000009,3,0,0,0,0,0,1," merged",0
7,1000027,2,0,0,0,0,0,1," merged",0
8,1000006,1,0,0,0,0,0,1," merged",1.5
9,1000003,1,1,2,0.333333,0.666667,0.333333,1," merged",0.117647058824
10,1000008,1,1,0,1,0,1,1," merged",0
10,1000009,1,1,0,1,0,1,1," merged",1.2
